Code,Year,Problem,Assigned,Implementation,Validation,Extra Instances,Restarts,# New,CompH,CompHP,CompE,Type,Source Code?,Termination,Notes,LS,LR,Journal,Citations,Method,Classification,Graphs,Model,NumInst,NumAccessible,Model,Processor,RAM,OS,Lang./Compiler,Compiler Flags,Publish code,
lu2010 ,2010,QUBP ,John,Done,Added,"p7000, spp",Added RR (GA+TS),1,5,4,0,Results tables,,Same runtime (benchmarked),,,* ,European Journal of Operations Research ,24,Tabu search + evolutionary algorithm ,hybrid,"beasley 2500, p3-7, SPP (9)",,40,40,,Pentium 2.66 GHz,512 MB,XP,C (gcc),,,[started here]
pardalos2008 ,2008,QUBP ,John,Done,[abnormal termination criterion],,Already handled (restart criterion),1,1,1,0,Same computer,Yes -- MST2,Same odd,MST2 solution used as target value for GES,,* ,Optimization Methods and Software ,20,Global equilibrium search ,GES,"beasley 2500, p5-7, MIS (5)",,26,26,,Pentium 4 3.00 GHz,1 GB,,C++,,,
glover2010 ,2010,QUBP ,John,Done,Added,p7000,Added runtime RR (TS),1,5,4,0,Results table,,Same runtime (benchmarked),,,* ,4OR ,19,Tabu search ,TS,"beasley 2500, p3-7",,31,31,,Pentium 2.66 GHz,512 MB,XP,C (gcc),,,
bertoni2001,2001,MAXCUT,,,,,,,2,2,*1,Same computer,Yes -- H_Net (source unclear) and RR-SDP,Different,,,,Discrete Applied Mathematics,18,Similar to Burer2002?,,random; tsplib (4),PC Pentium 100,1204,4,Pentium PC 100,,,,MATLAB,n/a,,
laguna2009 ,2009,MAXCUT ,John,Done,Added,,"Added RR (CE, HCE)",2,4,2,0,Results table + ~Dongarra,,Different,,,* ,Computers & Operations Research ,14,Hybrid cross entropy method ,2 CE,Rubenstein (6); torus; G(24_50); sg (20),,54,54,,3.2 GHz Intel Xenon,2.0 GB,,,,,
alperin2005 ,2005,MAXCUT ,,,,,,,2,2,0,Mixed (1/1),"Mixed -- GVNS is same, circut different",Different,,,* ,Journal of Heuristics ,14,Lagrangian smoothing (heavy machinery) ,,G (21_52),,21,21,,2x Pentium III 700 MHz,1 GB,,C++ (g++),,,
dolezal1999,1999,MAXCUT,,,,,,,0,0,0,---,,---,,,,"(Technical report, Dortmund University)",14,"Multiple, including genetic algorithm",,random,,120,0,,,,,,,,
borgulya2005,2005,QUBP,,,,,,,6,5,0,Results tables,,Different,,,,"Computational Intelligence, Theory and Applications (proceedings)",13,Evolutionary algorithm ,,f; beasley 1000-2500,,25,25,,Pentium 4 1.8 GHz,256 MB,,Visual Basic,n/a,,
duarte2005 ,2005,MAXCUT ,Iain ,Done,[No runtimes provided],,Added RR (GA),1,7,2,0,Results tables (festa2002),,Different,,,* ,GECCO 2005 ,13,Hybrid VNS/Memetic Algorithm ,hybrid,G(24_50),,24,24,,Pentium 4 1.7 GHz,256 MB,,C++,None,,
wang2012c ,2012,MAXCUT ,,,,,,,1,1,*,Results table,,Different,,,* ,Journal of Global Optimization ,12,Canonical dual approach (does not appear awful) ,,random; tsplib (10),,220,10,,Pentium M 2.8 GHz,0.5 GB,,MATLAB,n/a,,
gortazar2010 ,2010,MAXCUT ,Iain,Reviewing,[Averaged instances],,,1,4,4,0,Same computer,"Yes -- OptQuest, Evolver, Solver, marti2009",Same runtime,,,,Computers & Operations Research ,12,Scatter search ,,hartmann (10); rudy (84; this is not G-set as sizes too low),,94,94,,Pentium 4 3 GHz,2 GB,,Java SE 6,,,
kim2001,2001,MAXCUT,Iain,Reviewing (GA but not implemented that way),[Missing all graphs],"[sparse random, via]",,3,2,2,*1,Same computer,Yes -- GW-SA source code from Peinado; GW also run on same comp,Different,,,,GECCO 2001,12,Hybrid genetic algorithm,,random; via (from homer/pineido),,34,10,,Pentium 3 500 MHz,,Linux,,,,
funabiki1997 ,1997,MAXCUT ,Roman,Working,,,,,4,4,*,Same computer,"Yes -- Likely reimplement MNN, GS, SA, and MFA",Different,Expand lit review here?,,* ,ICNN 1997 ,12,Neural network ,,random,SONY NEWS/5000,13,0,SONY NEWS/5000,,,,,,,
berry1995 ,1995,MAXCUT ,,,,,,,4,4,*1,Same computer,"Yes -- GW gave source code and likely reimplement KL, PO, SA",Same runtime,,,* ,ACM-SIAM Symposium on Discrete Algorithms 1995 ,12,"Path optimization, simulated annealing, FLOW, multi-level spectral ",,random,Sparc 10 [or] other Sparc 10 [or] RS6000,63,0,Sparc 10 [or] other Sparc 10 [or] RS6000,,,,,,,
bertoni1996 ,1996,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,ICANN 1996 ,11,Neural network and genetic algorithm ,,random,,200,0,,,,,,,,
gao2008 ,2008,MAXCUT ,Roman,Reviewing,[Need to review code here],,,1,0,0,0,---,,---,,,* ,Progress in Natural Science ,10,Ant colony optimization ,,G (24_50),,24,24,,,,,,,,
palubeckis2004 ,2004,MAXCUT ,John,[[Nothing new]],,,,0,4,4,0,Results tables,,Different,,,,Information Technology and Control ,10,Multistart tabu search ,,G (21_45); sg (20); torus,Pentium III 800 PC,45,45,Pentium III 800 PC,,,,C,,,
palubeckis2002,2002,QUBP,,,,,,,0,0,0,---,,---,,,,Information Technology and Control ,10,GRASP,,beasley 2500; p3-6,Pentium III 800 PC,28,28,Pentium III 800 PC,,,,C,,,
katayama2001b,2001,QUBP,,,,,,,5,4,0,Results tables,,Different,,,,CEC 2001,10,Parthenogenetic algorithm,,"f-g; beasley 1000, 2500",Sun Ultra 5/10,35,35,Sun Ultra 5/10,UltraSparc-IIi 440 MHz,,,C,,,
salto2012 ,2012,MAXCUT ,,,,,,,7,6,*,Results tables,,Different,,,* ,Applied Intelligence ,9,Heterogeneous distributed genetic algorithm ,,G (24_50),,24,24,,8x AMD Phenom8450 Triple-Core (2GHz),2GB,Linux 2.6.27-4GB version,C++,,,
xu2006 ,2006,MAXCUT ,,,,,,,3,3,*,Results tables,,Different,,,* ,Journal of Computational Mathematics ,9,Nonlinear relaxation (claim it's simple) ,,G (15_52); some tiny graphs,PC Ienovo 3422,20,20,PC Ienovo 3422,Pentium 256M DDR,,,MATLAB 6.0,n/a,,
duarte2004 ,2004,MAXCUT ,,,,,,,1,1,0,Same computer (reimplement 1),Reimplement GRASP (basically identical to previous),Different,"Memetic counted as new heuristic, not existing",,* ,Evolutionary Computation in Combinatorial Optimization (LNCS) ,9,"Hierarchical social metaheuristic, GRASP, Memetic ",,G (24_50),,24,24,,Pentium 4 1.7 GHz,256 MB,,C++,None,,
shylo2010 ,2010,MAXCUT ,,,,,,,5,4,0,Results tables,,Different,,,* ,Cybernetics and Systems Analysis ,8,Global equilibrium search ,,G (24_50); sg (20),,44,44,,Intel Core Quad CPU Q9550 2.83 GHz,3 GB,,C++,,,
ling2009 ,2009,MAXCUT ,,,,,,,2,2,0,Results tables,,Different,,,* ,European Journal of Operational Research ,8,Discrete Filled Function Algorithm with Continuous Approximation ,,random (45); G (15_45); torus (2),,62,17,,1.43 GHz Pentium 4,256 MB,,MATLAB 6.5,n/a,,
evans2007 ,2007,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,Winter Simulation Conference 2007 ,8,Parallel Cross-Entropy Optimization ,,random,,3,0,,,,,,,,
wu2001 ,2001,MAXCUT ,,,,,,,2,2,*,Results tables,,Different,,,,ICONIP 2001 ,8,Discrete Hopfield-type neural networks ,,G (25_64),,25,25,,,,,,,,
lee1991 ,1991,MAXCUT ,,,,,,,1,1,0,Same computer (likely reimp. 1),Likely reimplement Hsu,Different,,,* ,IJCNN 1991 ,8,Neural network ,,random,,1000,0,DEC3100 and Macintosh SE/30,,,,C and TURBO PASCAL,,,
kochenberger2013 ,2013,MAXCUT ,[same as glover2010],,,,,,2,2,0,Results table,,Mixture (1 runtime; 1 unmatched),,,* ,Journal of Heuristics ,7,Tabu search ,,G (69_72),,69,69,,,,,,,,
wang2013 ,2013,QUBP ,,,,,,,0,0,0,---,,---,,,* ,Journal of Heuristics ,7,Backbone-guided tabu search for QUBP ,,p3-7,,21,21,,Pentium 2.83 GHz,2 GB,XP,C (gcc),,,
ling2008 ,2008,MAXCUT ,,,,,,,1,1,0,Results table,,Different,,,* ,Journal of Computational and Applied Math ,7,Discrete Filled Function Algorithm ,,random; G (12_45),,38,12,,Pentium IV 1.6 GHz,256 MB,,,,,
benlic2012 ,2012,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,Engineering Applications of Artificial Intelligence ,6,Breakout Local Search ,,G (71_81),biggest one! ,71,71,,Intel Xeon E5440 2.83 GHz,2GB,GNU/linux,C++ (gcc),,,
wang2012b ,2012,QUBP ,,,,,,,7,7,0,Results table,,Same runtime (benchmarked?),,,* ,European Journal of Operational Research ,6,Path relinking ,,beasley 2500; p3-7; G (69_72); SG (30); dimacs (4),,134,134,,Pentium 2.83 GHz,8 GB,XP,C (gcc),,,
wang2008 ,2008,QUBP ,,,,,,,2,2,0,Same computer (reimplement 2),"Reimplement DQPSO, GPSO",Different,,,* ,CEC 2008 ,5,Particle Swarm Optimization ,,"F1 (f), F2, G2: http://hces.bus.olemiss.edu/tools.html (claim they're from other UBQP papers)",,15,15,,Pentium 4 2.80 GHz,,,C,,,
wang2007 ,2007,MAXCUT ,,,,,,,5,5,*1,Mixed (2/3),"Yes -- SOCHOM, DHNN, CDHNN; No -- Circut, DSDP",Different,,,,Bio-Inspired Computational Intelligence and Applications ,5,Genetic particle swarm optimization with neural network ,,G (15_34),,15,15,DELL-PC,Pentium 4 2.80 GHz,,,C,,,
wang2006a,2005,MAXCUT ,,,,,,,3,3,0,Results table,,Different,,,* ,Neurocomputing ,5,Discrete Hopfield neural network ,,G (25_64),,25,25,,,,,C,,,
wang2002 ,2002,MAXCUT ,,,,,,,2,2,0,Same computer,Yes -- LORENA (bertoni1998) and johnson1989 (unclear if reimp.),Different,,,* ,"Transactions of the Institute of Electrical Engineers of Japan, Part C ",5,Neural network ,,random; one small,,25,1,IBM NetVista A40,Pentium III 733 MHz,,,,,,
wang2012 ,2012,QUBP ,,,,,,,9,8,0,Results table,,Mixture,,,* ,Computers & Operations Research ,4,Probabilistic GRASP-Tabu Search [UBQP] ,,"beasley 2500, p3-7, G (54_54)",,85,85,,Pentium 2.83 GHz,2 GB,XP,C (gcc),,,
cai2011 ,2011,QUBP ,,,,,,,3,3,0,Same computer (reimplement 1),"Yes -- MST2, ITS; Reimplement -- MA-MK",Same,,,* ,Expert Systems with Applications ,4,Memetic clonal selection algorithm [UBQP] ,,"beasley 2500, p3-7",,31,31,,Intel Core2 2.4 GHz,2 GB,,,,,
arraiz2009 ,2009,MAXCUT ,,,,,,,3,3,0,Results tables,,Different,,,* ,GECCO ̍09 ,4,"Simulated Annealing, Tabu Search ",,G (24_50),,24,24,,AMD CPU 1.66 GHz,512 MB,Ubuntu 8.10,C++ (g++),O3,,
carpentieri2007 ,2007,MAXCUT ,,,,,,,1,1,0,Same computer,Yes -- 1BGSC (bertoni1996); unclear how imp.,Different,,,* ,2006 IEEE Congress on Evolutionary Computation ,4,Genetic algorithm ,,random,,10,0,,,,,,,,
meridacasermeiro2004,2004,MAXCUT,,,,,,,3,3,0,Same computer,"Reimplement -- OCHOM, Wang",Different,,,,ICCMSE 2004,4,Multivalued neural network,,random,,120,0,,Pentium 4 3.06 GHz,,,MATLAB,n/a,,
wang2011b ,2011,QUBP ,,,,,,,0,0,0,---,,---,,,* ,EvoCOP 2011 ,3,Tabu Search ,,p3-7,,21,21,,Pentium 2.66 GHz,512 MB,XP,C (gcc),,,
ono2003,2003,MAXCUT,,,,,,,1,1,0,Same computer,Yes -- circut,Different,Tabu counts as new,,,MIC 2003,3,Spectrum method,,random; G (20_45),,40,20,,Pentium 3 1 GHz / Pentium 4 1.8A GHz,6GB / 1GB,Linux 2.4.20 / Linux 2.4.18,C++ / Fortran (intel compilers),,,
funabiki1996 ,1996,MAXCUT,,,,,,,1,1,0,Results table,,Different,,,,ICONIP 1996,3,Binary neural network,,random,,13,0,,,,,,,,
gosti1995,1995,MAXCUT,,,,,,,1,1,*1,Same computer,Yes -- GW,Different,,,,UC Berkeley Technical Report,3,"G/W + Local search, Simulated annealing, metropolis",,random; TSPLIB (10),,490,10,DEC Station 3000/400,,,,,,,
hu2011 ,2011,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,Information Sciences ,2,Hopfield neural networks ,,random,,4,0,,,,,,,,
wang2010 ,2010,QUBP ,,,,,,,0,0,0,---,,---,,,* ,PPSN 2010 ,2,Memetic algorithm ,,p3-5,,15,15,,Pentium 2.66 GHz,512 MB,XP,C (gcc),,,
wang2010b ,2010,QUBP ,,,,,,,7,6,0,mixed (2/5),,Different,,,* ,Expert Systems with Applications ,2,Neural network with estimation of distribution ,,"f-g, beasley 1000-2500",,35,35,,Pentium 4 2.80 GHz,,,C,,,
lu2010b,2010,QUBP,,,,,,,0,0,0,---,,---,,,*,EvoCOP 2010,2,Evolutionary search,,"beasley 2500, p3-5",,25,25,,Pentium 2.66 GHz,512 MB,XP,C (gcc),,,
lu2009,2009,QUBP,,,,,,,0,0,0,---,,---,,,,MIC 2009,2,Local search within Tabu Search or ILS,,beasley 2500,,10,10,,3.4 GHz,2 GB,,,,,
carpentieri2007b ,2007,MAXCUT ,,,,,,,3,2,0,Same computer,"Yes -- 1BGSC (bertoni1996); 2BGSC, 12BGSC (carpentieri2007); unclear how imp.",Different,,,* ,FOCI 2007 ,2,Genetic algorithm ,,random,,10,0,,,,,,,,
wang2006b,2006,MAXCUT,,,,,,,4,4,0,Same computer,"Yes -- MNN (Lee1991), LORENA (Bertoni1998), SA (Johnson1989), Wang (Wang2002); imp. unclear",Different,,,,Neural Information Processing,2,Neural network,,random,,24,0,AOPEN-PC,Pentium III 866 MHz,,,C++,,,
wang2004,2004,MAXCUT,,,,,,,4,4,0,Same computer,"Yes -- LORENA (Bertoni1998), SA (Johnson1989), Wang (Wang2002), OCHOM (GalanMarin2001); imp unclear",Different,,,,International Journal of Neural Systems,2,Hopfield neural networks ,,random,,24,0,AOPEN-PC,Pentium III 866 MHz,,,C++,,,
festa2003,2003,MAXCUT,,,,,,,1,1,0,Same computer,Yes -- circut,Different,,,,MIC2003,2,CIRCUT + Path relinking,,G (20_45),,20,20,SGI Challenge,196 MHz R10000,,,,,,
shor2002 ,2002,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,Cybernetics and Systems Analysis ,2,r-Algorithm ,,tiny problem (1),,1,1,IBM PC,Pentium III 750 MHz,256 MB,Win98,C++,,,
shylo2012 ,2012,MAXCUT ,,,,,,,1,1,0,Same computer,Yes -- shylo2010/shylo2011 (likely own code),Different (RT lim different in shylo2011b),,,* ,Cybernetics and Systems Analysis ,1,Global equilibrium search ,,G (54_54); sg (20),,74,74,,Intel Core Quad CPU Q9550 2.83 GHz,8 GB,,C++,,,
ling2012 ,2012,MAXCUT ,,,,,,,4,4,*2,Mixed (3/1); DSDP diff,"Mixed: Yes -- SDPPACK, VNS (festa), circut; No -- DSDP",Different,,,* ,Numerical Algorithms ,1,Discrete Filled Function Algorithm ,,random; G (22_45),,67,22,PC Lenovo 3422,,,,,,,
seo2012 ,2012,MAXCUT ,,,,,,,0,0,0,---,,---,,,* ,Parallel Problem Solving from Nature Proceedings ,1,Genetic algorithm ,,random; a few non-random,,31,14,,,,,C++,,,
